movie_id,person_id,name,department,job,gender
136835,1412112,Robert Vazquez,Visual Effects,Special Effects Supervisor,2
136835,937024,Aimee Lagos,Writing,Writer,0
137093,12962,Jon Turteltaub,Directing,Director,2
137093,40383,Nathan Kahane,Production,Executive Producer,2
137093,60070,Jeremiah Samuels,Production,Executive Producer,2
137093,62117,Nicole Brown,Production,Executive Producer,1
137093,10685,Laurence Mark,Production,Producer,2
137093,23541,Joseph Drake,Production,Producer,2
137093,1106694,Amy Baer,Production,Producer,0
137093,1106695,Matt Leonetti,Production,Producer,0
137093,15892,Dan Fogelman,Writing,Screenplay,2
137094,11181,Kenneth Branagh,Directing,Director,2
137094,1402039,Martha Pinson,Directing,Script Supervisor,0
137094,1427849,Zoe Morgan,Directing,Script Supervisor,0
137094,1113,Lucinda Syson,Production,Casting,1
137094,3965,Deborah Aquila,Production,Casting,1
137094,53680,Elaine Grainger,Production,Casting,1
137094,1034748,Tricia Wood,Production,Casting,1
137094,1327763,Alena Garetovskaya,Production,Casting,0
137094,29018,Dana Goldberg,Production,Executive Producer,1
137094,1106751,Tommy Harper,Production,Executive Producer,0
137094,4611,Mace Neufeld,Production,Producer,2
137094,10952,Lorenzo di Bonaventura,Production,Producer,2
137094,65614,David Barron,Production,Producer,2
137094,24309,Mark Vahradian,Production,Producer,0
137094,1106750,Alexander Dostal,Production,Producer,0
137094,1106752,David Ready,Production,Producer,0
137094,1583827,Matt Johnson,Visual Effects,Visual Effects Supervisor,0
137094,38568,Tom Clancy,Writing,Characters,2
137094,508,David Koepp,Writing,Screenplay,2
137094,1106745,Adam Cozad,Writing,Screenplay,0
137106,107446,Phil Lord,Directing,Director,0
137106,155267,Christopher Miller,Directing,Director,2
137106,577467,Tim Gaul,Directing,Layout,0
137106,1451274,Pablo Calvillo,Directing,Layout,2
137106,1453951,Laurence Andrews,Directing,Layout,0
137106,1453961,Rachael Byrne,Directing,Layout,0
137106,1453967,Vernessa Cook,Directing,Layout,0
137106,1453968,Gareth Cowen,Directing,Layout,0
137106,1453970,Omar Dabbagh,Directing,Layout,0
137106,1453986,D. Edwardz,Directing,Layout,0
137106,7903,Mary Hidalgo,Production,Casting,1
137106,1276559,John Powers Middleton,Production,Co-Producer,0
